iter	Logloss
0	0.6559606225
1	0.6246576257
2	0.5912890107
3	0.5640053007
4	0.5374607869
5	0.5131743247
6	0.4961955063
7	0.4742982415
8	0.4550227003
9	0.4389394508
10	0.4283064654
11	0.4099421844
12	0.3981193278
13	0.3831151165
14	0.3676127108
15	0.3635943639
16	0.3561520998
17	0.3457188953
18	0.3363620164
19	0.3258836753
20	0.3159362237
21	0.3094076103
22	0.3013923219
23	0.2955078267
24	0.2896986396
25	0.2819230839
26	0.2751886315
27	0.2680960358
28	0.2630776116
29	0.2570625592
30	0.2529978326
31	0.247324785
32	0.2418204072
33	0.2361173032
34	0.231215747
35	0.2258623186
36	0.2227499507
37	0.2173886722
38	0.2137772547
39	0.2095052229
40	0.2076819661
41	0.2030368308
42	0.1994156303
43	0.1961045916
44	0.1934051344
45	0.1910398006
46	0.188198947
47	0.1848695033
48	0.1807151405
49	0.1785143165
50	0.1755763683
51	0.1725080159
52	0.1695096356
53	0.1664620148
54	0.1643644284
55	0.1635411771
56	0.1626228844
57	0.1600645567
58	0.1570964545
59	0.1542326368
60	0.1522070423
61	0.1502450476
62	0.1485600148
63	0.1464419454
64	0.1451090687
65	0.1450505028
66	0.1429011159
67	0.1413506014
68	0.1394692716
69	0.1381503595
70	0.1376482473
71	0.1353558126
72	0.1345485346
73	0.1323413916
74	0.1308516265
75	0.1290530663
76	0.1275121408
77	0.1251704327
78	0.123187793
79	0.1219097306
80	0.1202414762
81	0.1192771317
82	0.1178645847
83	0.1169081348
84	0.1155334223
85	0.1146314339
86	0.1123606562
87	0.110968501
88	0.1102498855
89	0.1090093727
90	0.1080393754
91	0.1064610871
92	0.1055758042
93	0.1046668133
94	0.1031303757
95	0.1016053772
96	0.1001964775
97	0.09863437143
98	0.09773411773
99	0.09632248379
100	0.09529576227
101	0.09382051476
102	0.09287347786
103	0.09166782622
104	0.09027146061
105	0.08929748643
106	0.08729783262
107	0.08644586286
108	0.08540086595
109	0.08449532211
110	0.0837043532
111	0.0831413543
112	0.08201474214
113	0.08141665524
114	0.08021902232
115	0.0797734458
116	0.07900806811
117	0.07806349086
118	0.07706124086
119	0.07619218143
120	0.07515079276
121	0.0742520045
122	0.07334962155
123	0.07254725376
124	0.0719551213
125	0.07111598423
126	0.07018966082
127	0.06925983508
128	0.06837043146
129	0.06790650792
130	0.0672879923
131	0.06667013162
132	0.06601307879
133	0.06520451508
134	0.06446948563
135	0.06349970422
136	0.062839038
137	0.06236387744
138	0.0617772764
139	0.06092070237
140	0.06016891121
141	0.05951272436
142	0.05890651193
143	0.05829265887
144	0.05764055077
145	0.05709188547
146	0.05681095811
147	0.05630617923
148	0.055791917
149	0.05525697928
150	0.05461135333
151	0.05432698061
152	0.05385050777
153	0.0532979271
154	0.05280574876
155	0.05234947112
156	0.05189861418
157	0.05136010923
158	0.05088669502
159	0.05037488014
160	0.04991539202
161	0.04970158806
162	0.04930743139
163	0.04888576042
164	0.0485113011
165	0.0480444868
166	0.04760126178
167	0.04724286703
168	0.04678163687
169	0.04642696295
170	0.04610100244
171	0.04575761326
172	0.04526065208
173	0.044893969
174	0.04457650559
175	0.04426800387
176	0.0437847498
177	0.04335130382
178	0.04305379774
179	0.04276507458
180	0.04241535305
181	0.04208244867
182	0.04174814942
183	0.04137589431
184	0.04105850675
185	0.04076686977
186	0.04039346537
187	0.04009713261
188	0.03979869611
189	0.0394691341
190	0.03921351276
191	0.03893068001
192	0.03861727995
193	0.03829687981
194	0.03802939149
195	0.03772232546
196	0.03744054868
197	0.0371505191
198	0.03685934064
199	0.03655856452
